OID_,Id,SPOT,FLOORS,FLR_RAN,VIEW_2010,OFFSETA,GRIDCODE,SUM_LENGTH
,2425,4.5,1,1,0,10,0,0
,2426,5,1,1,0,10,0,0
,2427,4,1,1,0,10,0,0
,2428,4.5,1,1,0,10,0,0
,2429,4,1.5,1,0,10,0,0
,2430,14.5,2,1,88.32222934,10,1,1.540732223
,2431,13,2,1,0,10,0,0
,2432,8,2,1,0,10,0,0
,2433,7.5,2,1,0,10,0,0
,2434,6.5,2,1,0,10,0,0
,2435,5,1,1,0,10,0,0
,2436,5.5,1,1,0,10,0,0
,2437,5,1,1,0,10,0,0
,2438,4,1,1,0,10,0,0
,2439,4.5,1,1,0,10,0,0
,2440,4,2,1,0,10,0,0
,2441,4.5,2,1,0,10,0,0
,2442,6,1.5,1,0,10,0,0
,2443,5.5,1,1,0,10,0,0
,2444,6,1.5,1,0,10,0,0
,2445,6,1,1,0,10,0,0
,2446,5.5,2,1,0,10,0,0
,2447,4,1.5,1,0,10,0,0
,2448,5,2,1,0,10,0,0
,2449,4,1.5,1,0,10,0,0
,2450,2,2,1,0,10,0,0
,2451,0,1.5,1,0,10,0,0
,2452,3.5,1.5,1,0,10,0,0
,2453,4.5,2,1,0,10,0,0
,2454,5,1,1,0,10,0,0
,2455,4.5,2,1,0,10,0,0
,2456,4.5,1,1,0,10,0,0
,2457,5,2,1,0,10,0,0
,2458,5.5,1.5,1,0,10,0,0
,2459,4.5,1.5,1,0,10,0,0
,2460,4.5,2,1,0,10,0,0
,2461,4.5,1,1,0,10,0,0
,2462,4.5,1.5,1,0,10,0,0
,2463,5.5,1.5,1,0,10,0,0
,2464,5.5,1,1,0,10,0,0
,2465,8,2,1,0,10,0,0
,2466,9.857142857,2,1,0,10,0,0
,2467,8,2,1,0,10,0,0
,2468,8,2,1,0,10,0,0
,2469,6.5,2,1,0,10,0,0
,2470,4.5,1.5,1,0,10,0,0
,2471,4.5,1.5,1,0,10,0,0
,2472,4.5,1.5,1,0,10,0,0
,2473,5.5,2,1,0,10,0,0
,2474,5,1,1,0,10,0,0
,2475,5.5,1,1,0,10,0,0
,2476,5,1,1,0,10,0,0
,2477,5.5,1,1,0,10,0,0
,2478,4.5,2,1,0,10,0,0
,2479,0,1,1,0,10,0,0
,2480,2,2,1,0,10,0,0
,2481,3.5,1,1,0,10,0,0
,2482,4.5,1,1,0,10,0,0
,2483,4.5,1,1,0,10,0,0
,2484,4.5,2,1,0,10,0,0
,2485,5.5,1.5,1,0,10,0,0
,2486,5,1.5,1,0,10,0,0
,2487,5,1.5,1,0,10,0,0
,2488,6,2,1,0,10,0,0
,2489,4.5,2,1,0,10,0,0
,2490,5,1,1,0,10,0,0
,2491,5.5,1,1,0,10,0,0
,2492,4.5,2,1,0,10,0,0
,2493,8.5,1,1,0,10,0,0
,2494,10.5,2,1,0,10,0,0
,2495,10,2,1,0,10,0,0
,2496,14.5,2,1,60.44917727,10,1,1.054502315
,2497,16.4,1,1,26.25694247,10,1,0.458037774
,2498,20.5,2,1,114.9572917,10,1,2.005366088
,2500,17,2,1,69.17402684,10,1,1.206702468
,2501,6.5,2,1,0,10,0,0
,2502,7.5,2,1,0,10,0,0
,2503,8.5,2,1,0,10,0,0
,2504,7.5,1,1,0,10,0,0
,2505,4.5,2,1,0,10,0,0
,2506,5,2,1,0,10,0,0
,2507,6.5,1.5,1,0,10,0,0
,2508,5,2,1,0,10,0,0
,2509,5,1.5,1,0,10,0,0
,2510,5,1,1,0,10,0,0
,2511,5,1.5,1,0,10,0,0
,2512,4.5,2,1,0,10,0,0
,2513,5,1.5,1,0,10,0,0
,2514,5,1.5,1,0,10,0,0
,2515,1.5,2,1,0,10,0,0
,2516,1.5,2,1,0,10,0,0
,2517,1.5,1,1,0,10,0,0
,2518,3,1.5,1,0,10,0,0
,2519,3.5,1,1,0,10,0,0
,2520,4,1,1,0,10,0,0
,2521,4.5,1,1,0,10,0,0
,2522,3.5,1.5,1,0,10,0,0
