BLOCK,LOT,CONDO,LOCATION,res,comm,exempt,ACREAGE,sq_footage,story_design,house_type,garage,SALES DATE,SALE PRICE,PRICE CD,land_price,improv_price,assesed_value,num_structures,year_built,units,roof_type,roof_material,foundation,heat_src,heat_sys,elec,ac_type,ac_area,4_fixbath,3_fixbath,2_fixbath,1_fixbath,HotTub,fireplace,bedrooms,bathrooms,basmt_area,finbasmt_area,firstfloor_area,upper_area,half_area,attic_area,interior_cond,ext_cond,overall_cond,view
74,2,0,1109 N CENTRAL AVE,1,0,0,0.11,660,2,3,0,11/5/2004,498000,A,350000,115700,465700,1,1955,1,2,4,2,2,3,1,2,660,0,1,1,1,1,0,3,1.5,0,0,660,0,0,660,2,2,2,0
74,3,0,1113 N CENTRAL AVE,1,0,0,0.11,3132,4,8,1,00/00/0000,0,,350000,444500,794500,1,2003,1,2,4,2,2,3,1,2,3132,0,2,1,1,0,1,4,2.5,460,0,1618,1514,0,0,1,1,1,0
74,4,0,204 N 12TH ST,1,0,0,0.11,1174,2,5,0,5/10/1996,130000,A,350000,106700,456700,1,1960,1,2,4,2,2,3,1,2,1174,0,1,0,1,0,1,3,1,0,0,906,0,0,672,2,2,2,0
74,5,0,211 N 11TH ST,1,0,0,0.11,1267,2,5,0,00/00/0000,0,,350000,96700,446700,1,1940,1,2,4,2,2,3,1,90,1267,0,1,0,1,0,0,2,1,0,0,960,0,0,768,2,2,2,0
74,6,0,210 N 12TH ST,1,0,0,0.11,1740,4,8,1,11/18/1996,289000,A,350000,260800,610800,1,1996,1,6,4,1,2,3,1,2,1740,0,2,1,1,0,0,4,2.5,1164,1100,1164,576,0,0,1,1,1,0
74,7,0,217 N 11TH ST,1,0,0,0.11,704,1,3,0,4/27/2000,190000,A,350000,62200,412200,1,1937,1,2,4,2,2,1,1,90,704,0,1,0,1,0,0,2,1,0,0,704,0,0,0,2,2,2,0
74,8,0,216 N 12TH ST,1,0,0,0.11,1392,4,1,1,00/00/0000,0,,350000,133700,483700,1,1950,2,1,1,2,2,3,1,2,1392,0,2,0,2,0,0,4,2,0,0,696,696,0,0,2,2,2,0
74,9,1,223 N 11TH ST,1,0,0,0.11,1104,4,2,0,6/29/1995,90000,A,196000,87000,283000,2,1935,1,2,4,2,2,4,1,90,1104,0,1,1,1,0,0,3,1.5,0,0,600,504,0,0,2,2,2,0
74,9,1,223 N 11TH ST  REAR BLDG,1,0,0,0,852,3,5,0,6/29/1995,1,Z,196000,93000,289000,1,1940,1,2,4,2,2,4,1,90,852,0,1,0,1,0,1,2,1,0,0,632,0,440,0,2,2,2,0
74,10,0,222 N 12TH ST,1,0,0,0.11,864,2,5,1,6/22/2003,440000,A,350000,118400,468400,1,1940,1,2,4,2,2,3,1,4,864,0,1,1,1,0,0,2,1.5,0,0,864,0,0,864,2,2,2,0
